ACK Flag Count,Active Max,Active Mean,Active Min,Active Std,Average Packet Size,Bwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Header Length,Bwd IAT Max,Bwd IAT Mean,Bwd IAT Min,Bwd IAT Std,Bwd IAT Total,Bwd Init Win Bytes,Bwd PSH Flags,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Min,Bwd Packet Length Std,Bwd Packet/Bulk Avg,Bwd Packets/s,Bwd RST Flags,Bwd Segment Size Avg,Bwd URG Flags,CWR Flag Count,Down/Up Ratio,ECE Flag Count,FIN Flag Count,FWD Init Win Bytes,Flow Bytes/s,Flow Duration,Flow IAT Max,Flow IAT Mean,Flow IAT Min,Flow IAT Std,Flow Packets/s,Fwd Act Data Pkts,Fwd Bulk Rate Avg,Fwd Bytes/Bulk Avg,Fwd Header Length,Fwd IAT Max,Fwd IAT Mean,Fwd IAT Min,Fwd IAT Std,Fwd IAT Total,Fwd PSH Flags,Fwd Packet Length Max,Fwd Packet Length Mean,Fwd Packet Length Min,Fwd Packet Length Std,Fwd Packet/Bulk Avg,Fwd Packets/s,Fwd RST Flags,Fwd Seg Size Min,Fwd Segment Size Avg,Fwd URG Flags,ICMP Code,ICMP Type,Idle Max,Idle Mean,Idle Min,Idle Std,PSH Flag Count,Packet Length Max,Packet Length Mean,Packet Length Min,Packet Length Std,Packet Length Variance,Protocol,RST Flag Count,SYN Flag Count,Subflow Bwd Bytes,Subflow Bwd Packets,Subflow Fwd Bytes,Subflow Fwd Packets,Total Backward Packets,Total Fwd Packets,Total Length of Bwd Packets,Total Length of Fwd Packets,Total TCP Flow Time,URG Flag Count
15,786532.4020385742,786532.4020385742,786532.4020385742,0.0,239.0,0,0,292,290476.79901123047,131088.7336730957,0.0,144055.45547854257,786532.4020385742,0,2,1492,327.42857142857144,40,547.4778099438847,0,8.89982406555286,0,285.7142857142857,0,0,1.4960835509138382,0,1,0,4861.846746667734,786532.4020385742,248631.71577453613,52435.49346923828,0.0,101593.44511406796,20.342455006977964,5,0,0,372,249743.46160888672,67527.53257751465,0.0,112848.08130710512,540220.2606201172,4,772,170.22222222222223,40,241.50299054969162,0,11.442630941425106,0,-1.3333333333333357,128.88888888888889,0,0,0,248631.71577453613,52435.49346923828,0.0,101593.44511406796,6,1492,239.0,40,396.8452259172754,157486.13333333333,6,0,2,2292,7,1532,9,7,9,2292,1532,786532.4020385742,0
2,1.0,1.0,1.0,0.0,52.0,0,0,80,0.0,0.0,0.0,0.0,0.0,0,1,64,52.0,40,16.97056274847714,0,2000000.0,0,12.0,0,0,0.0,0,1,0,104000000.0,1.0,0.0,0.0,0.0,0.0,2000000.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,64,52.0,40,16.97056274847714,288.0,6,0,0,104,2,0,0,2,0,104,0,1.0,0
0,1.0,1.0,1.0,0.0,40.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,40000000.0,1.0,0,0.0,0,0.0,1000000.0,0,0,0,40,0,0.0,0,0.0,0,0,40,40.0,40,0.0,0,1000000.0,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0,40,40.0,40,0.0,0.0,6,1,0,0,0,40,1,0,1,0,40,1.0,0
0,1.0,1.0,1.0,0.0,40.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,40000000.0,1.0,0,0.0,0,0.0,1000000.0,0,0,0,40,0,0.0,0,0.0,0,0,40,40.0,40,0.0,0,1000000.0,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0,40,40.0,40,0.0,0.0,6,1,0,0,0,40,1,0,1,0,40,1.0,0
17,1054784.5363616943,1054784.5363616943,1054784.5363616943,0.0,389.72222222222223,0,0,384,283739.3283843994,131848.0670452118,0.0,140958.39930966333,1054784.5363616943,0,3,1492,271.1111111111111,40,487.2456886531795,0,8.53254829753574,0,228.44444444444443,0,0,0.5333333333333333,0,1,0,6650.647367468136,1054784.5363616943,283739.3283843994,62046.14919774672,0.0,115142.3064319755,17.06509659507148,6,0,0,372,283739.3283843994,99936.0978603363,0.0,138155.74768245048,799488.7828826904,3,1492,508.3333333333333,40,625.1417839178565,0,8.53254829753574,0,-1.3333333333333357,467.0,0,0,0,283739.3283843994,62046.14919774672,0.0,115142.3064319755,6,1492,389.72222222222223,40,557.2474163300678,310524.6830065359,6,0,2,2440,9,4575,9,9,9,2440,4575,1054784.5363616943,0
2,1.0,1.0,1.0,0.0,52.0,0,0,80,0.0,0.0,0.0,0.0,0.0,0,1,64,52.0,40,16.97056274847714,0,2000000.0,0,12.0,0,0,0.0,0,1,0,104000000.0,1.0,0.0,0.0,0.0,0.0,2000000.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,64,52.0,40,16.97056274847714,288.0,6,0,0,104,2,0,0,2,0,104,0,1.0,0
14,755462.1696472168,755462.1696472168,755462.1696472168,0.0,229.2,0,0,292,265900.6118774414,125910.36160786946,0.0,138122.199665816,755462.1696472168,0,2,1492,326.14285714285717,40,548.1904865316523,0,9.265851132253037,0,284.42857142857144,0,0,1.9766233766233767,0,1,0,4550.856598955134,755462.1696472168,244700.19340515137,53961.58354622977,0.0,103149.24789294496,19.855395283399368,5,0,0,332,245146.2745666504,72957.48165675571,0.0,117330.55362105032,510702.37159729004,4,435,144.375,40,147.48262609541504,0,10.58954415114633,0,-1.5,102.875,0,0,0,244700.19340515137,53961.58354622977,0.0,103149.24789294496,6,1492,229.2,40,385.3275415613505,148477.31428571427,6,0,2,2283,7,1155,8,7,8,2283,1155,755462.1696472168,0
2,1.0,1.0,1.0,0.0,52.0,0,0,80,0.0,0.0,0.0,0.0,0.0,0,1,64,52.0,40,16.97056274847714,0,2000000.0,0,12.0,0,0,0.0,0,1,0,104000000.0,1.0,0.0,0.0,0.0,0.0,2000000.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,64,52.0,40,16.97056274847714,288.0,6,0,0,104,2,0,0,2,0,104,0,1.0,0
0,1.0,1.0,1.0,0.0,40.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,40000000.0,1.0,0,0.0,0,0.0,1000000.0,0,0,0,40,0,0.0,0,0.0,0,0,40,40.0,40,0.0,0,1000000.0,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0,40,40.0,40,0.0,0.0,6,1,0,0,0,40,1,0,1,0,40,1.0,0
0,1.0,1.0,1.0,0.0,40.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,40000000.0,1.0,0,0.0,0,0.0,1000000.0,0,0,0,40,0,0.0,0,0.0,0,0,40,40.0,40,0.0,0,1000000.0,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0,40,40.0,40,0.0,0.0,6,1,0,0,0,40,1,0,1,0,40,1.0,0
15,780995.6073760986,780995.6073760986,780995.6073760986,0.0,217.375,0,0,292,278046.6079711914,130165.9345626831,0.0,142543.4847899483,780995.6073760986,0,2,1492,326.14285714285717,40,548.1904865316523,0,8.962918528463705,0,284.42857142857144,0,0,1.9104602510460251,0,1,0,4453.290091713824,780995.6073760986,252071.38061523438,52066.37382507324,0.0,103334.8980989087,20.486670922202755,5,0,0,372,252302.885055542,66293.68662834167,0.0,115085.44408059848,530349.4930267334,4,435,132.77777777777777,40,142.27682328631198,0,11.52375239373905,0,-1.3333333333333357,91.44444444444443,0,0,0,252071.38061523438,52066.37382507324,0.0,103334.8980989087,6,1492,217.375,40,375.2547357018518,140816.11666666667,6,0,2,2283,7,1195,9,7,9,2283,1195,780995.6073760986,0
2,1.0,1.0,1.0,0.0,52.0,0,0,80,0.0,0.0,0.0,0.0,0.0,0,1,64,52.0,40,16.97056274847714,0,2000000.0,0,12.0,0,0,0.0,0,1,0,104000000.0,1.0,0.0,0.0,0.0,0.0,2000000.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,64,52.0,40,16.97056274847714,288.0,6,0,0,104,2,0,0,2,0,104,0,1.0,0
36,1601205.825805664,1601205.825805664,1601205.825805664,0.0,478.13513513513516,0,0,852,267935.27603149414,80060.2912902832,0.0,111394.86381140059,1601205.825805664,0,10,1480,578.3333333333334,40,607.9171270274702,0,13.115115909245223,0,537.7619047619048,0,0,2.189866570501262,0,1,0,11048.548359545583,1601205.825805664,219321.25091552734,44477.93960571289,0.0,86745.60798543904,23.10758517343206,10,0,0,652,264774.5609283447,92061.02689107259,0.0,115645.73283176498,1380915.4033660889,7,1492,346.625,40,553.6170607920243,0,9.992469264186836,0,-0.75,305.875,0,0,0,219321.25091552734,44477.93960571289,0.0,86745.60798543904,17,1492,478.13513513513516,40,588.6942784276517,346560.9534534535,6,0,2,12145,21,5546,16,21,16,12145,5546,1601205.825805664,0
2,1.0,1.0,1.0,0.0,40.0,0,0,80,0.0,0.0,0.0,0.0,0.0,0,0,40,40.0,40,0.0,0,2000000.0,1,0.0,0,0,0.0,0,0,0,80000000.0,1.0,0.0,0.0,0.0,0.0,2000000.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,40,40.0,40,0.0,0.0,6,1,0,80,2,0,0,2,0,80,0,1.0,0
1,1.0,1.0,1.0,0.0,40.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,1,0,40000000.0,1.0,0,0.0,0,0.0,1000000.0,0,0,0,40,0,0.0,0,0.0,0,0,40,40.0,40,0.0,0,1000000.0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,40,40.0,40,0.0,0.0,6,0,0,0,0,40,1,0,1,0,40,1.0,0
0,1.0,1.0,1.0,0.0,40.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,40000000.0,1.0,0,0.0,0,0.0,1000000.0,0,0,0,40,0,0.0,0,0.0,0,0,40,40.0,40,0.0,0,1000000.0,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0,40,40.0,40,0.0,0.0,6,1,0,0,0,40,1,0,1,0,40,1.0,0
0,1.0,1.0,1.0,0.0,40.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0,40000000.0,1.0,0,0.0,0,0.0,1000000.0,0,0,0,40,0,0.0,0,0.0,0,0,40,40.0,40,0.0,0,1000000.0,1,0.0,0.0,0,0,0,0,0.0,0,0.0,0,40,40.0,40,0.0,0.0,6,1,0,0,0,40,1,0,1,0,40,1.0,0
18,43748528.718948364,43748528.718948364,43748528.718948364,0.0,65.16666666666667,0,0,520,9971246.004104614,3645710.7265790305,0.0,4709726.169304006,43748528.718948364,0,7,79,59.84615384615385,40,19.539900007617547,0,0.29715285017960935,0,19.846153846153847,0,0,1.969620253164557,0,1,0,26.812330250821674,43748528.718948364,9971246.004104614,2573442.865820492,0.0,4263153.053099795,0.41144240794099757,5,0,0,200,10267304.182052612,10261686.146259308,10251017.570495605,7260.30290449054,41046744.58503723,5,79,79.0,79,0.0,0,0.1142895577613882,0,39.0,39.0,0,0,0,9971246.004104614,2573442.865820492,0.0,4263153.053099795,12,79,65.16666666666667,40,18.63977404558833,347.44117647058823,6,0,0,778,13,395,5,13,5,778,395,43748528.718948364,0
